when using hse as pll input
hse is 25MHz

fs: 32 MHz 32000000  m: 22, n: 264, q:  4, p: 6
fs: 32 MHz 32000000  m: 23, n: 276, q:  4, p: 6
fs: 32 MHz 32000000  m: 24, n: 288, q:  4, p: 6
fs: 32 MHz 32000000  m: 25, n: 300, q:  4, p: 6
fs: 32 MHz 32000000  m: 26, n: 312, q:  4, p: 6
fs: 32 MHz 32000000  m: 27, n: 324, q:  4, p: 6
fs: 32 MHz 32000000  m: 28, n: 336, q:  4, p: 6
fs: 32 MHz 32000000  m: 29, n: 348, q:  4, p: 6
fs: 32 MHz 32000000  m: 30, n: 360, q:  4, p: 6
fs: 32 MHz 32000000  m: 31, n: 372, q:  4, p: 6
fs: 32 MHz 32000000  m: 32, n: 384, q:  4, p: 6
fs: 32 MHz 32000000  m: 33, n: 396, q:  4, p: 6
fs: 32 MHz 32000000  m: 34, n: 408, q:  4, p: 6
